Show Number, Air Date, Round, Category, Value, Question
9,9/19/80,Jeopardy!,FICTION,$200,"The ""lovable"" family of Peter Pan"
9,9/19/80,Jeopardy!,FIRST LADIES,$200,"One of her early suitors was her husband's arch rival, Stephen A. Douglas"
9,9/19/80,Jeopardy!,MYSTERIES,$200,1st cousins Dannay & Lee wrote the Ellery Queen stories under this pen name
9,9/19/80,Jeopardy!,RACY LADIES,$200,"Though a hot prospect in '80, Beth Heiden was frozen out of gold in this Olympic sport"
9,9/19/80,Jeopardy!,ADDRESSES,$200,Feathered friend who lives at 123东 Sesame Street
9,9/19/80,Jeopardy!,TRIVIA,$200,Number of blank tiles in a Scrabble set
9,9/19/80,Jeopardy!,FICTION,$300,"""Cat on a Hot Tin Roof's"" portly patriarch"
9,9/19/80,Jeopardy!,FIRST LADIES,$300,"Teddy's niece, her married & maiden names were the same"
9,9/19/80,Jeopardy!,MYSTERIES,$300,"This agency's symbol of an unblinking eye gave birth to the phrase ""private eye"""
9,9/19/80,Jeopardy!,RACY LADIES,$300,Never has to jockey for position as Mrs. Fred Astaire
9,9/19/80,Jeopardy!,ADDRESSES,$300,He shared digs with John Watson at 221-B Baker Street
9,9/19/80,Jeopardy!,TRIVIA,$300,Longest river in Canada or the SCTV bros.
9,9/19/80,Jeopardy!,FICTION,$400,"The Philip Roth character with a ""complaint"""
9,9/19/80,Jeopardy!,FIRST LADIES,$400,Her tough Texas husband preferred her nickname to calling her Claudia Alta
9,9/19/80,Jeopardy!,MYSTERIES,$400,She's Agatha Christie's ageless amateur detective
9,9/19/80,Jeopardy!,ADDRESSES,$400,"""Kookie"" Byrnes parked cars for Dino's Lodge"
9,9/19/80,Jeopardy!,TRIVIA,$400,It's whom Boris Spassky lost the chess crown to in 1972
9,9/19/80,Jeopardy!,FICTION,$500,Pasternak's Moscow medic
9,9/19/80,Jeopardy!,FIRST LADIES,"$1,000",She was expelled from Society of Friends for marrying non-Quaker 4th president
9,9/19/80,Jeopardy!,MYSTERIES,$500,"Author of ""Burr"" who wrote chilling mysteries under the pen name Edgar Box"
9,9/19/80,Jeopardy!,ADDRESSES,$500,"You'd find this at 1313 S. Harbor Boulevard in Anaheim, CA"
9,9/19/80,Jeopardy!,TRIVIA,$500,"Awarded medal as ""1st woman to be killed in action"" in WWII: she was Gable's wife"
9,9/19/80,Double Jeopardy!,BLACK AMERICA,$200,The first black in Big League Baseball
9,9/19/80,Double Jeopardy!,GRAMMAR,$200,"The adverb in ""think fast"""
9,9/19/80,Double Jeopardy!,BROTHERS & SISTERS,$200,"An ""easy rider"" whose sister played an easy lady in ""Klute"""
9,9/19/80,Double Jeopardy!,GREEK MYTHOLOGY,$200,Hilltop home of the gods
9,9/19/80,Double Jeopardy!,FOODS,$200,"""Real men"" don't eat this French custard cheese pie"
9,9/19/80,Double Jeopardy!,SOVIET UNION,$200,"Largest Soviet newspaper, its name means ""Truth"""
9,9/19/80,Double Jeopardy!,BLACK AMERICA,$400,"Forced to give up crown as Miss America because of photos in ""Penthouse"""
9,9/19/80,Double Jeopardy!,GRAMMAR,$400,The superlative form of good
9,9/19/80,Double Jeopardy!,BROTHERS & SISTERS,$400,"In the Bible, Aaron was this brother's mouthpiece in dealing with Pharaoh"
9,9/19/80,Double Jeopardy!,GREEK MYTHOLOGY,$400,"He ultimately got ""fleeced"" by Medea"
9,9/19/80,Double Jeopardy!,FOODS,$400,"On the market since 1896, it wasn't until 1912 that they included prizes"
9,9/19/80,Double Jeopardy!,SOVIET UNION,$400,Daughter of this Soviet ruler has been living in America since 1967
9,9/19/80,Double Jeopardy!,BLACK AMERICA,$600,"A symbol for black performers in film since the '50's, he won an Oscar as Best Actor in '63"
9,9/19/80,Double Jeopardy!,GRAMMAR,"$2,000","It can be common, proper, collective or concrete"
9,9/19/80,Double Jeopardy!,BROTHERS & SISTERS,$600,"Nursing mother who wouldn't make ""house calls"", she's Vanessa's sister"
9,9/19/80,Double Jeopardy!,GREEK MYTHOLOGY,$600,"A challenge to any optician, these giants had only one eye"
9,9/19/80,Double Jeopardy!,SOVIET UNION,$600,Soviet republic that has same name as an American state
9,9/19/80,Double Jeopardy!,BLACK AMERICA,$800,"As result of anti-slavery raid on Harper's Ferry, his ""body lies a moldering in the grave"""
9,9/19/80,Double Jeopardy!,GRAMMAR,$800,3-letter ending of present participles & gerunds
9,9/19/80,Double Jeopardy!,BROTHERS & SISTERS,$800,"Apollo's loving sister, sometimes served on the half shell"
9,9/19/80,Double Jeopardy!,GREEK MYTHOLOGY,$800,"A ""bull"" of a man, he lived in a labyrinth"
9,9/19/80,Double Jeopardy!,SOVIET UNION,$800,Soviet official who advocated using gasoline-filled bottles against Nazi tanks
9,9/19/80,Double Jeopardy!,BLACK AMERICA,"$1,000","Harriet Tubman, who freed over 300 slaves, was 1 of its foremost ""conductors"""
9,9/19/80,Double Jeopardy!,GRAMMAR,"$1,000",It comes at the end of a declarative sentence
9,9/19/80,Double Jeopardy!,GREEK MYTHOLOGY,"$1,000","First member of the ""me"" generation, this youth fell in love with his own reflection"
9,9/19/80,Double Jeopardy!,SOVIET UNION,"$2,000","Kenny Ball did <a href=""http://www.j-archive.com/media/1984-09-27_DJ_24.mp3"">this</a> jazzed up version of an old Russian folk song"
9,9/19/80,Final Jeopardy!,SCIENCE,None,The mammal that holds the record for the longest lifespan
10,9/20/80,Jeopardy!,GEOGRAPHY,$100,Formerly Formosa
10,9/20/80,Jeopardy!,DOUBLE TALK,$100,"Not a Hawaiian cow, but a dress worn by Hawaiian women"
10,9/20/80,Jeopardy!,"""JACKS"" OF ALL TRADES",$100,He celebrated his 39th birthday 41 times
10,9/20/80,Jeopardy!,SHIPS,$100,"""Unsinkable"" for most of its maiden voyage in 1912"
10,9/20/80,Jeopardy!,"""B"" MOVIES",$100,"In '61 movie, Audrey Hepburn's alternative to brunch in bed"
10,9/20/80,Jeopardy!,SPORTS,$100,What Gary Player plays professionailly
10,9/20/80,Jeopardy!,GEOGRAPHY,$200,Dutch is still an official language in what is now called Suriname
10,9/20/80,Jeopardy!,DOUBLE TALK,$200,Affirmative reply to an admiral's command
10,9/20/80,Jeopardy!,"""JACKS"" OF ALL TRADES",$200,"Between him & his wife, they licked the platter clean"
10,9/20/80,Jeopardy!,SHIPS,$200,Merchant ship that made the trip in 1620 from Plymouth to Cape Cod
10,9/20/80,Jeopardy!,"""B"" MOVIES",$200,Burt Lancaster film in which his only friends were feathered
10,9/20/80,Jeopardy!,GEOGRAPHY,$300,"8th most populous country in the world, this ""Bengal Nation"" was once East Pakistan"
10,9/20/80,Jeopardy!,DOUBLE TALK,$300,Adopted baby of Barney & Betty Rubble
10,9/20/80,Jeopardy!,"""JACKS"" OF ALL TRADES",$300,"He didn't find gold in the Klondike, so he wrote ""The Call of the Wild"""
10,9/20/80,Jeopardy!,SHIPS,$300,"He entertained world leaders on his yacht ""Christina"""
10,9/20/80,Jeopardy!,"""B"" MOVIES",$300,Poignant movie in which Peter Sellers turned on the TV & tuned out the world
10,9/20/80,Jeopardy!,GEOGRAPHY,$400,"First colony since 1776 to break from Britain without consent, it is now Zimbabwe"
10,9/20/80,Jeopardy!,DOUBLE TALK,$400,Washington's panda with pregnancy problems
10,9/20/80,Jeopardy!,"""JACKS"" OF ALL TRADES",$400,"His nickname was the ""Manassa Mauler"""
10,9/20/80,Jeopardy!,SHIPS,$400,Royal neighbor of the Spruce Goose
10,9/20/80,Jeopardy!,"""B"" MOVIES",$400,This title describes Carroll Baker's thumb-sucking character & nightie she wore
10,9/20/80,Jeopardy!,GEOGRAPHY,$500,About 1/3 of Africa's Pygmy population lives in what was once Belgian Congo
10,9/20/80,Jeopardy!,DOUBLE TALK,$500,"British rockers whose name came from villain in sci-fi film ""Barbarella"""
10,9/20/80,Jeopardy!,"""JACKS"" OF ALL TRADES",$500,"2nd generation pop singer, he's sung on every ""Love Boat"" voyage"
10,9/20/80,Jeopardy!,SHIPS,$500,"At some 500' long & with 9 masts, the ""Cheng Ho"" was largest of this kind"
10,9/20/80,Jeopardy!,"""B"" MOVIES",$500,Sensitive Mart Crowley treatment of gays marching to a different drummer
10,9/20/80,Jeopardy!,SPORTS,$500,"Boxer whose life was portrayed in ""Somebody Up There Likes Me"""
10,9/20/80,Double Jeopardy!,LABOR UNIONS,$200,Notorious labor leader missing since '75
10,9/20/80,Double Jeopardy!,1789,$200,"Washington proclaimed Nov. 26, 1789 this first national holiday"
10,9/20/80,Double Jeopardy!,TOURIST TRAPS,$200,Both Ferde Grofe' & the Colorado River dug this national park
10,9/20/80,Double Jeopardy!,LITERATURE,$200,"Depending on the book, he could be a ""Jones"", a ""Sawyer"", or an ""Uncle"""
10,9/20/80,Double Jeopardy!,HOMONYMS,$200,Hindu hierarchy or a play's actors
10,9/20/80,Double Jeopardy!,TV TRIVIA,$200,"Last season, this series mourned the loss of Sgt. Esterhaus"
10,9/20/80,Double Jeopardy!,1789,$400,Why April 28th was a bad day for Capt. Bligh
10,9/20/80,Double Jeopardy!,TOURIST TRAPS,$400,Seaside resort that has a monopoly on East Coast gambling
10,9/20/80,Double Jeopardy!,LITERATURE,$400,"He wrote ""The 3 Musketeers""; his son wrote ""Camille"""
10,9/20/80,Double Jeopardy!,HOMONYMS,$400,Near or a purchase
10,9/20/80,Double Jeopardy!,TV TRIVIA,$400,He went from the Ponderosa to the prairie
10,9/20/80,Double Jeopardy!,TOURIST TRAPS,$600,"Since '27, stars have made good impressions at this Hollywood site"
10,9/20/80,Double Jeopardy!,LITERATURE,$600,Where you can't go again in Thomas Wolfe title
10,9/20/80,Double Jeopardy!,HOMONYMS,$600,"A fixed look, or Ginger Rogers' partner"
10,9/20/80,Double Jeopardy!,TV TRIVIA,$600,"In 1970 he had a ""Goodtime Hour"""
10,9/20/80,Double Jeopardy!,TOURIST TRAPS,$800,A thrilling destination for tight-rope walkers & honeymooners
10,9/20/80,Double Jeopardy!,LITERATURE,$800,Irving's bird-like hero chased by the Headless Horseman
10,9/20/80,Double Jeopardy!,HOMONYMS,"$1,000",Didn't see the fog
10,9/20/80,Double Jeopardy!,TV TRIVIA,$800,"Jackie Gleason show that rejected titles ""The Lovers"" & ""The Couple Next Door"""
10,9/20/80,Double Jeopardy!,1789,"$1,000","Now totaling over $1 trillion, it began 11 days after Treasury was established in 1789"
10,9/20/80,Double Jeopardy!,TOURIST TRAPS,"$1,000",Tourists know this Catholic mission as Davy Crockett's last stand
10,9/20/80,Double Jeopardy!,LITERATURE,"$1,000",Shaw's scorched saint
10,9/20/80,Double Jeopardy!,HOMONYMS,"$1,000",Where ships dock or what a jury consists of
10,9/20/80,Double Jeopardy!,TV TRIVIA,"$1,000","In court, he'd always make mincemeat of Hamilton Burger"
10,9/20/80,Final Jeopardy!,U.S. PRESIDENTS,None,"Adventurous 26th president, he was 1st to ride in an automobile & an airplane"
11,9/23/80,Jeopardy!,GAY '90S,$100,"By '97 they had air-filled rubber tires, coaster brakes & adjustable handlebars"
11,9/23/80,Jeopardy!,POTENT POTABLES,$100,In 1935 Kreuger's Cream Ale was the first beer sold in these
11,9/23/80,Jeopardy!,STATES IN SONG,$100,It's where I came from with a banjo on my knee
11,9/23/80,Jeopardy!,OLD TESTAMENT,$100,Delilah gave him a real trimming
11,9/23/80,Jeopardy!,HOLIDAYS,$100,Italian-American's have made this their equivalent of St. Patrick's Day
11,9/23/80,Jeopardy!,"STARTS WITH ""Q""",$100,Klugman's coroner
11,9/23/80,Jeopardy!,GAY '90S,$200,It sank in Havana Harbor & set off a war
11,9/23/80,Jeopardy!,POTENT POTABLES,$200,"Never swallowing, they sip, swish, gargle, then spit out what they sample"
11,9/23/80,Jeopardy!,STATES IN SONG,$200,"According to Beach Boys' hit, state with the cutest girls in the world"
11,9/23/80,Jeopardy!,OLD TESTAMENT,$200,"In Hebrew its name means ""Sea of Reeds"""
11,9/23/80,Jeopardy!,HOLIDAYS,$200,"Though we ""love"" his ""day"", he's been taken off calendar of saints"
11,9/23/80,Jeopardy!,"STARTS WITH ""Q""",$200,Hugo's hunchback
11,9/23/80,Jeopardy!,GAY '90S,$300,"On March 18, 1891, this mode of communication was inaugurated between London & Paris"
11,9/23/80,Jeopardy!,POTENT POTABLES,$300,This 19th century Philadelphia distiller's name became slang for liquor
11,9/23/80,Jeopardy!,STATES IN SONG,$300,State where you'd find Elvis' rain & Diamond's woman
11,9/23/80,Jeopardy!,OLD TESTAMENT,$300,Through sons Isaac & Ishmael both Jews & Arabs descend from him
11,9/23/80,Jeopardy!,HOLIDAYS,$300,The eve of All Saints' Day
11,9/23/80,Jeopardy!,"STARTS WITH ""Q""",$300,"""To be or not to be"""
11,9/23/80,Jeopardy!,POTENT POTABLES,$400,"Derived from Hindu word for ""5"", describing number of ingredients mixed in a large bowl"
11,9/23/80,Jeopardy!,STATES IN SONG,$400,"The alternate lyrics to ""I've Been Working On The Railroad"""
11,9/23/80,Jeopardy!,OLD TESTAMENT,$400,"The name ""Palestine"" comes from these Biblical enemies of Israel"
11,9/23/80,Jeopardy!,HOLIDAYS,$400,"In colonial Massachusetts, Puritans made this Christian holiday illegal"
11,9/23/80,Jeopardy!,"STARTS WITH ""Q""",$400,Oldest city in Canada
11,9/23/80,Jeopardy!,POTENT POTABLES,$500,C<sub>2</sub>H<sub>5</sub>OH
11,9/23/80,Jeopardy!,STATES IN SONG,$500,Patti Page hit that is official song of a southern state
11,9/23/80,Jeopardy!,OLD TESTAMENT,$500,"Sorrowful O.T. prophet, his name now refers to predictors of doom"
11,9/23/80,Jeopardy!,HOLIDAYS,$500,Several Southern states celebrate <u>his</u> June 3rd birthday instead of Lincoln's
11,9/23/80,Jeopardy!,"STARTS WITH ""Q""",$500,Popular name of the Religious Society of Friends
11,9/23/80,Double Jeopardy!,U.S. HISTORY,$200,"In '63, 200,000 Washington marchers heard him say, ""I have a dream"""
11,9/23/80,Double Jeopardy!,SHAKESPEARE,$200,"Shakespeare's only comedy with ""comedy"" in the title"
11,9/23/80,Double Jeopardy!,HOMONYMS,$200,"Dave Garroway's sign-off, or a slice of cake"
11,9/23/80,Double Jeopardy!,TV TRIVIA,$200,"Every week this comedienne was ""so glad we had this time together"""
11,9/23/80,Double Jeopardy!,U.S. HISTORY,$400,The last occasion Congress declared war on any country
11,9/23/80,Double Jeopardy!,SHAKESPEARE,$400,"In it, Puck comments: ""Lord, what fools these mortals be!"""
11,9/23/80,Double Jeopardy!,HOMONYMS,$400,"What Oliver Twist wanted, or Susan Anton's diminutive date"
11,9/23/80,Double Jeopardy!,TV TRIVIA,$400,"Richard Carlson ""led"" this number of lives as a communist counterspy & FBI agent"
11,9/23/80,Double Jeopardy!,SHAKESPEARE,$600,What Shylock demanded instead of interest
11,9/23/80,Double Jeopardy!,HOMONYMS,$600,"Olympic swimmer, or what a tobacco chewer does into a spittoon"
11,9/23/80,Double Jeopardy!,TV TRIVIA,$600,Lucy & Desi's TV production company
11,9/23/80,Double Jeopardy!,U.S. HISTORY,$800,Only state carried by George McGovern in '72 election
11,9/23/80,Double Jeopardy!,SHAKESPEARE,$800,"Completes the line ""If music be the food of love..."""
11,9/23/80,Double Jeopardy!,HOMONYMS,$800,"Expensive onion, or what happens when there's a hole in the bucket"
11,9/23/80,Double Jeopardy!,LANDMARKS,$800,Only 1 of the 7 wonders of the ancient world still standing
11,9/23/80,Double Jeopardy!,TV TRIVIA,$800,"Series which pitted ""CONTROL"" against ""KAOS"""
11,9/23/80,Double Jeopardy!,U.S. HISTORY,"$1,000","Justice Hugo Black, a leading supporter of school desegregation, was once member of this group"
11,9/23/80,Double Jeopardy!,SHAKESPEARE,"$1,000","Hamlet's closest friend, only major character left alive at play's end"
11,9/23/80,Double Jeopardy!,MUSICAL INSTRUMENTS,"$1,000","Plucked instrument brought to U.S. by slaves, now a fixture in bluegrass"
11,9/23/80,Double Jeopardy!,HOMONYMS,"$1,000","A peasant, or where you hang 10"
11,9/23/80,Double Jeopardy!,LANDMARKS,$600,"Though unmarried & childless, he lives in the world's largest residential palace"
11,9/23/80,Double Jeopardy!,TV TRIVIA,"$1,000","Crooner who was 1st offered role of ""Columbo"" but turned it down because he didn't need the money"
11,9/23/80,Final Jeopardy!,TITLED HEADS,None,N.Y. financier Al Grimaldi is next in line for throne of this Mediterranean principality
12,9/24/80,Jeopardy!,WORLD CAPITALS,$100,Costa Rican capital people might know the way to
12,9/24/80,Jeopardy!,FOODS,$100,Southern specialty & America's favorite main dish
12,9/24/80,Jeopardy!,SPORTS,$100,"Sport which uses epees, foils & sabres"
12,9/24/80,Jeopardy!,INVENTIONS,$100,He invented the Franklin stove
12,9/24/80,Jeopardy!,MAMMALS,$100,"Romans called this African beast a ""tiger horse"""
12,9/24/80,Jeopardy!,"BEGINS WITH ""L""",$100,"Erich Segal's ""story"""
12,9/24/80,Jeopardy!,WORLD CAPITALS,$200,"It's divided into the Kanda, Marunoucki, Asakusa & Ginza districts"
12,9/24/80,Jeopardy!,FOODS,$200,"Deli delight, from Yiddish for Ring"
12,9/24/80,Jeopardy!,SPORTS,$200,Name given to annual competition among U.S. amateur boxers
12,9/24/80,Jeopardy!,INVENTIONS,$200,Detection of gamma rays was 1 of the uses for this 1947 instant picture taker
12,9/24/80,Jeopardy!,MAMMALS,$200,The only flying mammal
12,9/24/80,Jeopardy!,"BEGINS WITH ""L""",$200,An air bubble tells a carpenter if he's on it
12,9/24/80,Jeopardy!,WORLD CAPITALS,$300,Home to NATO & little green sprouts
12,9/24/80,Jeopardy!,FOODS,$300,"Pickle men, not doctors, do this for bacon & ham"
12,9/24/80,Jeopardy!,SPORTS,$300,Number of downs allowed in Canadian football to advance the ball 10 yards
12,9/24/80,Jeopardy!,INVENTIONS,$300,"2,160 people at a time could ride on this at the 1893 Chicago World's Fair"
12,9/24/80,Jeopardy!,MAMMALS,$300,A black panther is really the black version of this cat
12,9/24/80,Jeopardy!,"BEGINS WITH ""L""",$300,The L in L.P.G.A.
12,9/24/80,Jeopardy!,WORLD CAPITALS,$400,"This capital's street signs are in English, Arabic & Hebrew"
12,9/24/80,Jeopardy!,SPORTS,$300,"Because of WWII, these 2 NFL teams combined squads in '43 to become the ""Stegles"""
12,9/24/80,Jeopardy!,INVENTIONS,$400,Edison suggested it be used to record phone calls & make clocks talk
12,9/24/80,Jeopardy!,MAMMALS,$400,"Plays dead to escape predators, but one was close friends with an alligator"
12,9/24/80,Jeopardy!,"BEGINS WITH ""L""",$400,"A, B, M, P, or Z, for example"
12,9/24/80,Jeopardy!,WORLD CAPITALS,$500,"If the other twin had founded it, it might have been called ""Reme"""
12,9/24/80,Jeopardy!,FOODS,$500,"East Indians who never ask ""Where's the beef?"""
12,9/24/80,Jeopardy!,SPORTS,$500,Ex-Boston Celtics' star who has refused induction into Basketball Hall of Fame
12,9/24/80,Jeopardy!,INVENTIONS,$500,"The first patent pool was for this invention by Howe, Hunt & Singer"
12,9/24/80,Jeopardy!,MAMMALS,$500,"Weighing 1东 tons per foot, this mammal generates up to 500 H.P. with its tail"
12,9/24/80,Jeopardy!,"BEGINS WITH ""L""",$500,It's what bread has & matzo hasn't
12,9/24/80,Double Jeopardy!,U.S. STATES,$200,Its Mormon founders called it Deseret
12,9/24/80,Double Jeopardy!,5-LETTER WORDS,$200,"Used by a carpenter, a master sergeant, & a dentist"
12,9/24/80,Double Jeopardy!,MUSIC,$200,"4th note of the musical scale or ""a long, long way to run"""
12,9/24/80,Double Jeopardy!,LAW,$200,"A second prosecution for the same offense, or this round"
12,9/24/80,Double Jeopardy!,WEATHER,$200,Condition associated with London & pea soup
12,9/24/80,Double Jeopardy!,MOVIE TRIVIA,$200,"Actress who spoke the immortal line, ""Love is never having to say you're sorry"""
12,9/24/80,Double Jeopardy!,U.S. STATES,$400,"The only state beginning with ""A"" that does not end in ""A"""
12,9/24/80,Double Jeopardy!,5-LETTER WORDS,$400,A lady's handbag or something done to lips before a kiss
12,9/24/80,Double Jeopardy!,MUSIC,$400,"Piano style sprung from the blues, it describes Bette's ""Bugle Boy"""
12,9/24/80,Double Jeopardy!,WEATHER,$400,"Mt. Waialeale in Hawaii gets the most, while Calama, Chile, usually gets none"
12,9/24/80,Double Jeopardy!,MOVIE TRIVIA,$400,"Mary Poppins' magical, musical tongue-twister"
12,9/24/80,Double Jeopardy!,U.S. STATES,$600,The only state to touch 4 of the Great Lakes
12,9/24/80,Double Jeopardy!,5-LETTER WORDS,$600,"A police wagon, a rice field, or author Chayefsky"
12,9/24/80,Double Jeopardy!,MUSIC,$600,Tyrolean trick of moving the voice from natural to falsetto
12,9/24/80,Double Jeopardy!,WEATHER,$600,Its winds can reach 400 MPH
12,9/24/80,Double Jeopardy!,MOVIE TRIVIA,$600,"Actor who captained ""the mean machine"" in ""The Longest Yard"""
12,9/24/80,Double Jeopardy!,U.S. STATES,$800,1 of 4 states that's officially a commonwealth
12,9/24/80,Double Jeopardy!,5-LETTER WORDS,$800,"To Hamlet, ""Frailty, thy name is"" this"
12,9/24/80,Double Jeopardy!,MUSIC,"$1,900","What we call <a href=""http://www.j-archive.com/media/1984-10-02_DJ_09.mp3"">this</a> singing <u>sans</u> accompaniment:"
12,9/24/80,Double Jeopardy!,LAW,$800,"To avoid litigation, this type of insurance or divorce avoids affixing blame"
12,9/24/80,Double Jeopardy!,WEATHER,$800,Some hygrometers use a human hair to measure this
12,9/24/80,Double Jeopardy!,MOVIE TRIVIA,$800,"Movie whose sequel was ""Class of '44"""
12,9/24/80,Double Jeopardy!,5-LETTER WORDS,"$1,000","In Czech, it's herec; in German, schauspieler; & in Hollywood, usually unemployed"
12,9/24/80,Double Jeopardy!,MUSIC,"$1,000","Italian for ""first lady"", the leading opera singer in a company"
12,9/24/80,Double Jeopardy!,LAW,"$1,000","While a summons asks nicely, this demands your appearance in court"
12,9/24/80,Double Jeopardy!,WEATHER,"$1,000",Region near Equator that took the wind out of Sinbad's sails
12,9/24/80,Double Jeopardy!,MOVIE TRIVIA,"$1,000","This gimmick introduced for the film ""Scent of Mystery"" was something to be sniffed at"
12,9/24/80,Final Jeopardy!,RIVERS,None,"It carries more water than the longest rivers in Asia, Africa & No. America combined"
13,9/25/80,Jeopardy!,ISLANDS,$100,"Owned by tiny Denmark, it's the world's largest island"
13,9/25/80,Jeopardy!,SILLY SONGS,$100,"To treat it ""you're gonna need an ocean of calamine lotion"""
13,9/25/80,Jeopardy!,MONEY,$100,Currency where you'll find Lincoln's name on front & back
13,9/25/80,Jeopardy!,1968,$100,South-of-the-border setting of the '68 Olympics
13,9/25/80,Jeopardy!,TRIVIA,$100,Rubber is an ingredient in this type of chewing gum
13,9/25/80,Jeopardy!,ISLANDS,$200,"New York's largest, it has more people than 41 of our 50 states"
13,9/25/80,Jeopardy!,SILLY SONGS,$200,"""She was afraid to come out of the water"" because she wore this scanty outfit"
13,9/25/80,Jeopardy!,MONEY,$200,4 little words carried on all U.S. currency
13,9/25/80,Jeopardy!,1968,$200,First visual effects Oscar went to Kubrick's look 33 years into the future
13,9/25/80,Jeopardy!,TRIVIA,$200,Easter creature created by Gene Autry in '55 hit record
13,9/25/80,Jeopardy!,ISLANDS,$300,"Until 1949 a Dutch colony, now the world's most populous island nation"
13,9/25/80,Jeopardy!,SILLY SONGS,$500,"He offered <a href=""http://www.j-archive.com/media/1984-10-03_J_14.mp3"">this</a> prescription:"
13,9/25/80,Jeopardy!,MONEY,$300,Replaced Adams in the presidency & the Indian on the nickel
13,9/25/80,Jeopardy!,1968,$300,"Camelot ""ended"" when Jackie married him"
13,9/25/80,Jeopardy!,TRIVIA,$300,"Though a northern state, N.J. didn't abolish it until 1860"
13,9/25/80,Jeopardy!,ISLANDS,$400,"Made up of over 7,000 islands, only Far East country with a Roman Catholic majority"
13,9/25/80,Jeopardy!,SILLY SONGS,$400,Herman's Hermits' song about widow whose 8 husbands all had the same name
13,9/25/80,Jeopardy!,MONEY,$400,The only U.S. coin with the Presidential Seal
13,9/25/80,Jeopardy!,1968,$400,He broke S. Africa's race barrier by transplanting black man's heart into white body
13,9/25/80,Jeopardy!,TRIVIA,$400,U.S. coin 97.6% zinc
13,9/25/80,Jeopardy!,SILLY SONGS,$500,"According to Ray Stevens, ""He swings through the trees without a trapeze in his B.V.D.'s"""
13,9/25/80,Jeopardy!,1968,$500,"After 11 months in captivity, crew of this ship was released by N. Koreans"
13,9/25/80,Jeopardy!,TRIVIA,$500,Ohio City named for an ancestor of the 24th president
13,9/25/80,Double Jeopardy!,BRITISH HISTORY,$200,"Though historians debate it, she's called ""The Virgin Queen"""
13,9/25/80,Double Jeopardy!,INVENTIONS,$200,"""The mother of invention"""
13,9/25/80,Double Jeopardy!,WOMEN AUTHORS,$200,"Judith Krantz ""princess"" who reigned in novel & mini-series"
13,9/25/80,Double Jeopardy!,BASEBALL,$200,A 1939 college baseball game was the first sports event shown on this medium
13,9/25/80,Double Jeopardy!,SCULPTURE,$200,"His only signed work is the ""Pieta"" in the Vatican"
13,9/25/80,Double Jeopardy!,"""NICK"" NAMES",$200,"You can call me ""merry"" or you can call me ""hairy"" but you doesn't has to call me ""Santa"""
13,9/25/80,Double Jeopardy!,INVENTIONS,$400,"Country credited with invention of pasta, porcelain, & paper"
13,9/25/80,Double Jeopardy!,WOMEN AUTHORS,$400,"Playwright Edward Albee asked ""Who's afraid of"" this respected British novelist"
13,9/25/80,Double Jeopardy!,BASEBALL,$400,"The Metropolitan Museum of Art has 200,000 of them"
13,9/25/80,Double Jeopardy!,SCULPTURE,$400,A gold statue of Prometheus towers over the ice rink of this N.Y.C. landmark
13,9/25/80,Double Jeopardy!,"""NICK"" NAMES",$400,When John Wayne always arrived with the cavalry
13,9/25/80,Double Jeopardy!,BRITISH HISTORY,"$2,000","Of Henry VIII's six wives, the number that lost their heads over him"
13,9/25/80,Double Jeopardy!,INVENTIONS,$600,"Tissue originally used as a WWI gas filter, but now literally something to sneeze at"
13,9/25/80,Double Jeopardy!,WOMEN AUTHORS,$600,Colleen McCullough's Australian saga
13,9/25/80,Double Jeopardy!,BASEBALL,"$2,000",1 of 3 Major League Baseball teams with state rather than city names
13,9/25/80,Double Jeopardy!,SCULPTURE,$600,"""Disarming"" statue unearthed by peasant of Greek island of Melos in 1820"
13,9/25/80,Double Jeopardy!,"""NICK"" NAMES",$600,"Things are never ""hoop"" less for this Manhattan team"
13,9/25/80,Double Jeopardy!,INVENTIONS,$800,"1st developed for the blind, they've become the most widely used business machine"
13,9/25/80,Double Jeopardy!,WOMEN AUTHORS,$800,"Author, columnist, & TV wit who said, ""Housework, if you do it right, can kill you"""
13,9/25/80,Double Jeopardy!,BASEBALL,$800,"Ironically, ex-con Ron LeFlore led the N.L. in these in 1980"
13,9/25/80,Double Jeopardy!,SCULPTURE,$800,The Berlin museum is home to the famous bust of this Egyptian queen
13,9/25/80,Double Jeopardy!,"""NICK"" NAMES",$800,He was Eddie Murphy's partner for 48 hours
13,9/25/80,Double Jeopardy!,INVENTIONS,"$1,000",Printing press inventor associated with the world's most valuable book
13,9/25/80,Double Jeopardy!,WOMEN AUTHORS,"$1,000","Long-time companion of Dashiell Hammett, she was played in ""Julia"" by Jane Fonda"
13,9/25/80,Double Jeopardy!,BASEBALL,"$1,000","To help their owner pay off gambling debts, the 1920 Red Sox sold him to the Yankees"
13,9/25/80,Double Jeopardy!,SCULPTURE,"$1,000","Though it represents a woman, his 5-story Chicago structure has been called a baboon"
13,9/25/80,Double Jeopardy!,"""NICK"" NAMES","$1,000","Gambler who paid the ""Brice"" for marrying a famous Fanny"
13,9/25/80,Final Jeopardy!,THE SOLAR SYSTEM,None,Only 1 of 9 planets not named for a Greek or Roman mythological figure
14,9/26/80,Jeopardy!,WORLD LEADERS,$100,"During '80s hostage crisis, dart boards bearing his face were a big seller"
